actuated_joint_pos	actuated_joint_vel	actuated_joint_torque	unactuated_joint_pos	unactuated_joint_vel	unactuated_joint_torque
1.12897	3.99934	5.01338	2.48038	9.9612	20
1.13297	3.99934	5.01339	2.49034	9.96	20
1.13697	4.00434	5.00082	2.50034	10	20
1.14098	4.00934	5.00082	2.51035	10.0106	20
1.145	4.01933	4.99458	2.52038	10.0212	20
1.14902	4.01933	4.98835	2.53044	10.0612	20
1.15305	4.02928	4.97595	2.5405	10.06	20
1.15708	4.02928	4.97596	2.5506	10.1	20
1.16111	4.03424	4.96367	2.56071	10.1106	20
1.16515	4.03921	4.96367	2.57083	10.1212	20
1.1692	4.04912	4.95756	2.58099	10.1612	20
1.17325	4.04911	4.95147	2.59115	10.16	20
1.17731	4.05899	4.93934	2.60135	10.2	20
1.18137	4.05899	4.93935	2.61156	10.2106	20
1.18543	4.06392	4.92733	2.62178	10.2212	20
1.1895	4.06885	4.92733	2.63204	10.2612	20
1.19358	4.07869	4.92136	2.6423	10.26	20
1.19766	4.07868	4.9154	2.6526	10.3	20
1.20175	4.08849	4.90353	2.66291	10.3106	20
1.20583	4.08849	4.90354	2.67323	10.3212	20
1.20993	4.09338	4.89178	2.68359	10.3612	20
1.21403	4.09828	4.89178	2.69395	10.36	20
1.21813	4.10805	4.88593	2.70435	10.4	20
1.22224	4.10804	4.8801	2.71476	10.4106	20
1.22636	4.11778	4.86849	2.72519	10.4212	20
1.23048	4.11778	4.8685	2.73565	10.4612	20
1.2346	4.12264	4.85699	2.74611	10.46	20
1.23873	4.12749	4.85699	2.75661	10.5	20
1.24287	4.13719	4.85127	2.76712	10.5106	20
1.247	4.13719	4.84556	2.77764	10.5212	20
1.25115	4.14686	4.83419	2.7882	10.5612	20
1.2553	4.14686	4.8342	2.79876	10.56	20
1.25945	4.15168	4.82293	2.80936	10.6	20
1.2636	4.1565	4.82293	2.81997	10.6106	20
1.26777	4.16614	4.81733	2.83059	10.6212	20
1.27194	4.16613	4.81174	2.84125	10.6612	20
1.27611	4.17573	4.80061	2.85191	10.66	20
1.28029	4.17573	4.80062	2.86261	10.7	20
1.28447	4.18052	4.78958	2.87332	10.7106	20
1.28865	4.18531	4.78958	2.88404	10.7212	20
1.29285	4.19488	4.78409	2.8948	10.7612	20
1.29704	4.19488	4.77862	2.90556	10.76	20
